Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
D1;07.04.2012;14;8;1;2;A;0;1;A;14;13;5;5;21;24;3;1;3;2;0;0
D1;07.04.2012;16;9;0;0;D;0;0;D;12;6;3;5;15;21;1;3;0;1;0;0
D1;07.04.2012;11;17;4;1;H;1;1;D;10;14;6;3;7;17;13;2;1;1;0;0
D1;07.04.2012;6;1;1;3;A;0;1;A;11;11;6;4;17;9;5;6;1;2;1;0
D1;08.04.2012;2;18;1;1;D;1;0;H;18;15;4;9;20;12;5;4;2;2;0;0
D1;08.04.2012;12;7;3;0;H;1;0;H;16;4;10;0;14;14;4;1;0;1;0;0
D1;10.04.2012;3;11;1;3;A;1;2;A;20;14;2;9;16;19;9;2;2;3;0;0
D1;10.04.2012;9;4;1;2;A;0;1;A;12;10;4;5;18;14;6;1;4;1;0;0
D1;10.04.2012;17;5;4;0;H;3;0;H;7;3;4;0;14;13;3;2;2;0;0;0
D1;10.04.2012;13;16;2;2;D;1;0;H;14;23;6;7;6;13;3;5;0;4;1;0
D1;11.04.2012;1;15;1;0;H;0;0;D;13;7;6;4;9;10;3;4;0;0;0;0
D1;11.04.2012;7;6;2;0;H;1;0;H;7;13;3;5;16;11;5;6;0;1;0;0
D1;11.04.2012;8;2;4;0;H;2;0;H;11;11;6;6;18;21;3;9;2;3;0;0
D1;11.04.2012;18;14;3;1;H;1;1;D;15;16;8;4;9;9;2;4;0;1;0;0
D1;11.04.2012;10;12;4;1;H;3;0;H;12;6;4;1;17;26;6;1;1;3;0;0
D1;13.04.2012;11;13;4;1;H;2;1;H;18;9;8;3;18;24;6;3;1;3;0;0
D1;14.04.2012;15;17;0;0;D;0;0;D;14;5;2;0;5;14;13;4;1;1;0;0
D1;14.04.2012;2;7;1;0;H;1;0;H;15;7;8;1;17;21;8;3;2;2;0;0
