Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;Spalte18;Spalte19
D1;17.12.2011;Hamburg;Augsburg;1;1;D;0;0;D;23;11;12;6;11;18;8;0;1;0;0;0;;;;;;;;;;;;;;;;;;;
D1;17.12.2011;Hoffenheim;Hertha;1;1;D;1;0;H;16;9;5;1;19;9;5;4;4;1;1;1;;;;;;;;;;;;;;;;;;;
D1;17.12.2011;Leverkusen;Nurnberg;0;3;A;0;2;A;13;11;6;4;17;16;6;3;0;1;0;0;;;;;;;;;;;;;;;;;;;
D1;17.12.2011;Schalke 04;Werder Bremen;5;0;H;2;0;H;15;10;8;1;13;10;4;4;2;2;0;0;;;;;;;;;;;;;;;;;;;
D1;17.12.2011;Wolfsburg;Stuttgart;1;0;H;0;0;D;19;12;7;5;26;16;6;7;3;2;0;0;;;;;;;;;;;;;;;;;;;
D1;18.12.2011;Kaiserslautern;Hannover;1;1;D;0;1;A;19;8;7;1;13;11;6;0;1;2;1;0;;;;;;;;;;;;;;;;;;;
D1;18.12.2011;M'gladbach;Mainz;1;0;H;1;0;H;6;12;3;5;16;20;5;4;3;3;0;0;;;;;;;;;;;;;;;;;;;
D1;20.01.2012;M'gladbach;Bayern Munich;3;1;H;2;0;H;9;17;5;7;11;13;4;8;1;0;0;0;;;;;;;;;;;;;;;;;;;
D1;21.01.2012;Freiburg;Augsburg;1;0;H;0;0;D;15;4;6;1;13;25;5;2;1;3;0;0;;;;;;;;;;;;;;;;;;;
D1;21.01.2012;Hoffenheim;Hannover;0;0;D;0;0;D;10;9;3;1;14;22;0;4;1;1;0;0;;;;;;;;;;;;;;;;;;;
D1;21.01.2012;Kaiserslautern;Werder Bremen;0;0;D;0;0;D;19;14;5;6;22;16;4;2;2;3;0;0;;;;;;;;;;;;;;;;;;;
D1;21.01.2012;Nurnberg;Hertha;2;0;H;1;0;H;10;12;5;2;16;18;4;5;1;2;0;0;;;;;;;;;;;;;;;;;;;
